idx,영화제목,가격,할인된 가격,링크
171,마틸다,할인하지 않는 영화입니다.,₩900,/store/movies/details/%EB%A7%88%ED%8B%B8%EB%8B%A4?id=_zeVL52Iub4
172,호빗 : 스마우그의 폐허,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%98%B8%EB%B9%97_%EC%8A%A4%EB%A7%88%EC%9A%B0%EA%B7%B8%EC%9D%98_%ED%8F%90%ED%97%88?id=cIUz_fZmjSg
173,엄마의 남자,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%97%84%EB%A7%88%EC%9D%98_%EB%82%A8%EC%9E%90?id=noRtOWLrr8k
174,호빗: 뜻밖의 여정,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%98%B8%EB%B9%97_%EB%9C%BB%EB%B0%96%EC%9D%98_%EC%97%AC%EC%A0%95?id=M7RhB2rCPGc
175,킬러의 보디가드,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%82%AC%EB%9F%AC%EC%9D%98_%EB%B3%B4%EB%94%94%EA%B0%80%EB%93%9C?id=1wYObtwZcwo
176,찰리와 초콜릿 공장,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%B0%B0%EB%A6%AC%EC%99%80_%EC%B4%88%EC%BD%9C%EB%A6%BF_%EA%B3%B5%EC%9E%A5?id=-9ZN8fdtxbw
177,새엄마들 2019,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%83%88%EC%97%84%EB%A7%88%EB%93%A4_2019?id=8b6uUIqLgqg.P
178,아이언맨 2,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%95%84%EC%9D%B4%EC%96%B8%EB%A7%A8_2?id=9tf_YrfHItM
179,배트맨 대 슈퍼맨: 저스티스의 시작: 얼티밋 에디션 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%B0%B0%ED%8A%B8%EB%A7%A8_%EB%8C%80_%EC%8A%88%ED%8D%BC%EB%A7%A8_%EC%A0%80%EC%8A%A4%ED%8B%B0%EC%8A%A4%EC%9D%98_%EC%8B%9C%EC%9E%91_%EC%96%BC%ED%8B%B0%EB%B0%8B_%EC%97%90%EB%94%94%EC%85%98_%EC%9E%90%EB%A7%89%ED%8C%90?id=Sd_XB4jvpsk
180,호빗: 스마우그의 폐허 [확장판],할인하지 않는 영화입니다.,"₩4,500",/store/movies/details/%ED%98%B8%EB%B9%97_%EC%8A%A4%EB%A7%88%EC%9A%B0%EA%B7%B8%EC%9D%98_%ED%8F%90%ED%97%88_%ED%99%95%EC%9E%A5%ED%8C%90?id=hNAwh4C2lv4
181,아이즈온미 : 더무비,"₩7,000","₩5,000",/store/movies/details/%EC%95%84%EC%9D%B4%EC%A6%88%EC%98%A8%EB%AF%B8_%EB%8D%94%EB%AC%B4%EB%B9%84?id=0ehskXeL7Y4.P
182,가디언즈 오브 갤럭시,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EA%B0%80%EB%94%94%EC%96%B8%EC%A6%88_%EC%98%A4%EB%B8%8C_%EA%B0%A4%EB%9F%AD%EC%8B%9C?id=oKkHGFMJ148
183,라푼젤 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%9D%BC%ED%91%BC%EC%A0%A4_%EC%9E%90%EB%A7%89%ED%8C%90?id=c8pfcMXC4Eo
184,미들어스 패키지 (확장판),"₩20,000","₩19,000",/store/movies/details/%EB%AF%B8%EB%93%A4%EC%96%B4%EC%8A%A4_%ED%8C%A8%ED%82%A4%EC%A7%80_%ED%99%95%EC%9E%A5%ED%8C%90?id=LaLYMiIghzY
185,반지의 제왕: 반지 원정대(확장판),할인하지 않는 영화입니다.,"₩4,500",/store/movies/details/%EB%B0%98%EC%A7%80%EC%9D%98_%EC%A0%9C%EC%99%95_%EB%B0%98%EC%A7%80_%EC%9B%90%EC%A0%95%EB%8C%80_%ED%99%95%EC%9E%A5%ED%8C%90?id=xAUxOcN3ctc
186,레드슈즈,"₩2,500","₩1,000",/store/movies/details/%EB%A0%88%EB%93%9C%EC%8A%88%EC%A6%88?id=ahn1_WMlcsk.P
187,알라딘 (2019) (더빙판),할인하지 않는 영화입니다.,"₩7,200",/store/movies/details/%EC%95%8C%EB%9D%BC%EB%94%98_2019_%EB%8D%94%EB%B9%99%ED%8C%90?id=8GsKxTCI_iE
188,라푼젤 (더빙판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%9D%BC%ED%91%BC%EC%A0%A4_%EB%8D%94%EB%B9%99%ED%8C%90?id=B0ErxSfkKNY
189,레옹 디 오리지널 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%A0%88%EC%98%B9_%EB%94%94_%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90_%EC%9E%90%EB%A7%89%ED%8C%90?id=2poglr2e5f4
190,콜 오브 와일드,할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%EC%BD%9C_%EC%98%A4%EB%B8%8C_%EC%99%80%EC%9D%BC%EB%93%9C?id=SjyZR7ruUGw.P
191,위플래쉬,할인하지 않는 영화입니다.,"₩1,500",/store/movies/details/%EC%9C%84%ED%94%8C%EB%9E%98%EC%89%AC?id=Ijv6tW5mIGo
192,인비저블맨,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%9D%B8%EB%B9%84%EC%A0%80%EB%B8%94%EB%A7%A8?id=rJ85h-bEzfI.P
193,어벤져스 : 에이지 오브 울트론 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%96%B4%EB%B2%A4%EC%A0%B8%EC%8A%A4_%EC%97%90%EC%9D%B4%EC%A7%80_%EC%98%A4%EB%B8%8C_%EC%9A%B8%ED%8A%B8%EB%A1%A0_%EC%9E%90%EB%A7%89%ED%8C%90?id=cslYu_VgDpM
194,색계,할인하지 않는 영화입니다.,"₩1,500",/store/movies/details/%EC%83%89%EA%B3%84?id=p9qIeanOUs4.P
195,라이언 일병 구하기,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%9D%BC%EC%9D%B4%EC%96%B8_%EC%9D%BC%EB%B3%91_%EA%B5%AC%ED%95%98%EA%B8%B0?id=6pvB9AbgdYE
196,쥬라기 공원,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%A5%AC%EB%9D%BC%EA%B8%B0_%EA%B3%B5%EC%9B%90?id=f116mKraaPo
197,샤잠!,할인하지 않는 영화입니다.,"₩4,500",/store/movies/details/%EC%83%A4%EC%9E%A0?id=clQpbro9jeI.P
198,덫: 치명적인 유혹,할인하지 않는 영화입니다.,"₩1,500",/store/movies/details/%EB%8D%AB_%EC%B9%98%EB%AA%85%EC%A0%81%EC%9D%B8_%EC%9C%A0%ED%98%B9?id=8WpHF2zS-Sw
199,미니언즈 (더빙판),할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%AF%B8%EB%8B%88%EC%96%B8%EC%A6%88_%EB%8D%94%EB%B9%99%ED%8C%90?id=G-uYx6F9hFo
