idx,영화제목,가격,할인된 가격,링크
91,알리타: 배틀 엔젤 (자막판),할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%EC%95%8C%EB%A6%AC%ED%83%80_%EB%B0%B0%ED%8B%80_%EC%97%94%EC%A0%A4_%EC%9E%90%EB%A7%89%ED%8C%90?id=z11gdNqADGM
92,부산행,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%B6%80%EC%82%B0%ED%96%89?id=G6sXMngyiRw
93,몬스터 호텔 3 (더빙판),할인하지 않는 영화입니다.,₩900,/store/movies/details/%EB%AA%AC%EC%8A%A4%ED%84%B0_%ED%98%B8%ED%85%94_3_%EB%8D%94%EB%B9%99%ED%8C%90?id=owoANwe1tLw
94,어바웃 타임,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%96%B4%EB%B0%94%EC%9B%83_%ED%83%80%EC%9E%84?id=d7diQh1B_pU
95,슈퍼 소닉,할인하지 않는 영화입니다.,"₩1,800",/store/movies/details/%EC%8A%88%ED%8D%BC_%EC%86%8C%EB%8B%89?id=TWMYDHJ1Hgo.P
96,모아나 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%AA%A8%EC%95%84%EB%82%98_%EC%9E%90%EB%A7%89%ED%8C%90?id=sgt1zxSMROE
97,100%울프: 푸들이 될 순 없어,할인하지 않는 영화입니다.,"₩10,000",/store/movies/details/100_%EC%9A%B8%ED%94%84_%ED%91%B8%EB%93%A4%EC%9D%B4_%EB%90%A0_%EC%88%9C_%EC%97%86%EC%96%B4?id=jqKRFc0uy14.P
98,닥터 스트레인지 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%8B%A5%ED%84%B0_%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%9D%B8%EC%A7%80_%EC%9E%90%EB%A7%89%ED%8C%90?id=2ojyCukJOjw
99,너의 이름은. (더빙판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%84%88%EC%9D%98_%EC%9D%B4%EB%A6%84%EC%9D%80_%EB%8D%94%EB%B9%99%ED%8C%90?id=DegUV-ZWwr8
100,모아나 (더빙판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%AA%A8%EC%95%84%EB%82%98_%EB%8D%94%EB%B9%99%ED%8C%90?id=Oj8Pz2VH2aA
101,반지의 제왕 : 왕의 귀환,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%B0%98%EC%A7%80%EC%9D%98_%EC%A0%9C%EC%99%95_%EC%99%95%EC%9D%98_%EA%B7%80%ED%99%98?id=M0O7LZ6H4F0
102,토이 스토리 4 (더빙판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%ED%86%A0%EC%9D%B4_%EC%8A%A4%ED%86%A0%EB%A6%AC_4_%EB%8D%94%EB%B9%99%ED%8C%90?id=C4Bdu7Dt6E8
103,비긴 어게인 (자막판),할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%B9%84%EA%B8%B4_%EC%96%B4%EA%B2%8C%EC%9D%B8_%EC%9E%90%EB%A7%89%ED%8C%90?id=a9AbGfX_Vz4
104,쿵푸팬더 3 (더빙판),할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%BF%B5%ED%91%B8%ED%8C%AC%EB%8D%94_3_%EB%8D%94%EB%B9%99%ED%8C%90?id=VBL50PufWYo
105,작은 아씨들  Little Women,할인하지 않는 영화입니다.,"₩1,800",/store/movies/details/%EC%9E%91%EC%9D%80_%EC%95%84%EC%94%A8%EB%93%A4_Little_Women?id=ipnQ7Xi-Vmo.P
106,명탐정 피카츄 (더빙판),할인하지 않는 영화입니다.,"₩4,500",/store/movies/details/%EB%AA%85%ED%83%90%EC%A0%95_%ED%94%BC%EC%B9%B4%EC%B8%84_%EB%8D%94%EB%B9%99%ED%8C%90?id=7plPp77MYoA
107,빅쇼트,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%B9%85%EC%87%BC%ED%8A%B8?id=ilgKQH-f36A
108,반지의 제왕 : 두개의 탑,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%B0%98%EC%A7%80%EC%9D%98_%EC%A0%9C%EC%99%95_%EB%91%90%EA%B0%9C%EC%9D%98_%ED%83%91?id=x3vW3LAXXQ0
109,어벤져스 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%96%B4%EB%B2%A4%EC%A0%B8%EC%8A%A4_%EC%9E%90%EB%A7%89%ED%8C%90?id=xjq5NDum_W0
